descriptor,complaint_count
Sewer Backup (Use Comments) (SA),17206
Trees and Sidewalks Program,11149
Catch Basin Clogged/Flooding (Use Comments) (SC),8328
Street Flooding (SJ),3676
Catch Basin Sunken/Damaged/Raised (SC1),2063
Sewer Odor (SA2),1457
Manhole Overflow (Use Comments) (SA1),1233
Manhole Cover Missing (Emergency) (SA3),1139
Affecting Sewer or Foundation,787
Culvert Blocked/Needs Cleaning (SE),524
Defective/Missing Curb Piece (SC4),466
RAIN GARDEN DEBRIS (GIRGD),297
Catch Basin Grating Missing (SA4),294
Catch Basin Search (SC2),259
RAIN GARDEN DEBRIS (SRGDBR),204
Other Sewer Problem (Use Comments) (SZZ),178
Flood Light Lamp Out,161
Highway Flooding (SH),155
Backup,90
RAIN GARDEN STRUCTURE (GIRGS),63
RAIN GARDEN PLANTING (GIRGP),59
Flooding on Street,46
Catch Basin Clogged,40
DAMAGE STRUCTURE/RAILING (SRGDM),39
RAIN GARDEN FLOODING (SRGFLD),36
Flood Light Lamp Cycling,22
Manhole Cover Broken/Making Noise (SB),5
Flood Light Lamp Dim,5
Street Cave-In *Dep Internal Use Only* (SG1),4
Catch Basin Sunken,4
Flooding on Highway,4
Flood Light Lamp Missing,3
Flooded,2
Manhole Sunken/Damaged/Raised (SB1),1
Flood Light Lamp Dayburning,1
