year_month,complaint_count
2020-01,10
2020-02,16
2020-03,8
2020-04,4
2020-05,1
2020-06,3
2020-07,6
2020-08,5
2020-09,284
2020-10,1098
2020-11,931
2020-12,854
2021-01,863
2021-02,838
2021-03,1175
2021-04,1174
2021-05,716
2021-06,1282
2021-07,1691
2021-08,1360
2021-09,4292
2021-10,1297
2021-11,846
2021-12,843
2022-01,836
2022-02,861
2022-03,1115
2022-04,1085
2022-05,392
2022-06,1216
2022-07,1489
2022-08,1161
2022-09,2409
2022-10,1184
2022-11,927
2022-12,1100
2023-01,1107
2023-02,773
2023-03,1070
2023-04,1342
2023-05,1548
2023-06,830
2023-07,12
2023-08,13
2023-09,150
2023-10,60
2023-11,3
2023-12,249
2024-01,5
2024-02,3
2024-03,2
2024-04,3
2024-05,6
2024-06,1
2024-07,8
2024-08,2
2024-09,4
2024-10,5
2024-11,6
2024-12,3
2025-01,8
2025-02,11
2025-03,31
2025-04,43
2025-05,108
2025-06,171
2025-07,211
2025-08,261
2025-09,257
2025-10,213
2025-11,163
2025-12,722
2026-01,870
2026-02,881
2026-03,1472
2026-04,1206
2026-05,2726
2026-06,69
